铁剑,20,0.01,-0.02,0,0,0,0
武士刀,15,2,0.02,0,0,0,0
碧水剑,12,0.01,0.01,0,0,0,0
槌子,18,0.02,0,0,0,0,0
铁弩,8,0,0.1,0,0,0,1
铁弓,8,0,0.1,0,0,0,1
碧玉爪,8,0,0.05,0,0,0.03,0   
玄铁爪,10,0,0.05,0,0,0.03,0        
天鹰之爪,12,0,0.05,0,0,0.03,0
碎骨匕首,5,-0.01,0,0,0,0.1,0
塔娜的钢铁匕首,8,-0.01,0,0,0,0.1,0
女王御赐匕首,10,-0.01,0,0,0,0.1,0  
狩猎长枪,11,-0.01,0,0,0,0.02,0
黑曜石长枪,15,-0.01,0,0,0,0.02,0  
练胆长枪,10,-0.01,0,0,0,0.02,0
长刀,30,0.02,0.04,0,0,0,0      
枯叶刀,28,0.05,0.04,0,0,0,0        
脊骨剑,35,0.01,0.02,0,0,0,0          
双刃巨剑,40,-0.01,-0.05,0,0,0,0   
钉头槌,36,0.01,-0.02,0,0,0,0       
连射手弩,15,0.01,0.1,0,0,0.03  
密制重弩,20,0.01,0.1,0,0,0.03,0     
毒龙之弓,25,0.01,0.1,0,0,0.03,0
雪之灾难,15,-0.01,0,0,0,0.1,0
拉比论匕首,17,-0.01,0.03,0,0,0.1,0
断骨长枪,22,-0.01,0,0,0,0.02,0
征战长戟,20,0,0,0,0,0,0
紫炎波刃剑,40,0,0.02,0,0,0.02,0
兽骨短剑,45,0.01,0.02,0,0,0,0
裁决之刃,50,0,-0.02,0,0,0,0 
圣物宽刃长剑,55,0,0.05,0,0,0,0
天马之弩,35,0.01,0.1,0,0,0.03,1
狩猎之弓,40,0.01,0.1,0,0,0.03,1  
虎骨之弩,40,0.01,0.1,0,0,0.03,1
黑曜石之弩,50,0.01,0.1,0,0,0.03,1
血红匕首,30,-0.01,0.03,0,0,0.1,0 
黄金匕首,40,-0.01,0.03,0,0,0.1,0
焰火长枪,30,-0.01,0,0,0,0.02,0 
熊骨长枪,40,-0.01,0,0,0,0.02,0
斩铁剑,60,0,-0.02,0,0,0.1,0
玄铁刀,65,-0.01,0.1,0,0,0,0
杀意之刃,70,0,0.02,0,0,0.2,0 
重金属巨剑,70,0,-0.02,0,0,0,0
天霜寒气,75,0,-0.02,0,0,0,0
黑雀弩,55,0.1,0.1,0,0,0.03,1 
玄铁手弩,60,0.1,0.1,0,0,0.03,1 
天蚕匕首,45,-0.01,0.03,0,0,0.1,0
刺杀者匕首,45,-0.01,0.03,0,0,0.3,0
毒龙之牙,48,-0.01,0.03,0,0,0.1,0
流光匕首,45,-0.01,0.03,0,0,0.1,0
释魂长枪,55,-0.01,0,0,0,0.02,0
黑影之枪,60,-0.01,0,0,0,0.02,0  
玄铁长枪,55,-0.01,0,0,0,0.02,0 
月令,55,-0.01,0,0,0,0.02,0  
龙肝虎胆,70,-0.01,0,0,0,0.35,0 
虎骨刃,80,0,0,0,0,0.08,0 
斩妖刀,85,0,0,0,0,0,15,0 
巨蝎之槌,90,0,-0.02,0,0,0,0 
死亡冰剑,85,0,0.05,0,0,0,0 
圣耀太刀,100,0,0.05,0,0,0,0
黑铁手弩,70,0.05,0.1,0,0,0.03,1 
狼骨之弩,75,0,0.2,0,0,0.03,1 
冰火之弩,70,0,0.1,0,0,0.03,1   
钢铁之弩,80,0,0.1,0,0,0.3,1  
圣耀手弩,90,0,0.1,0,0,0.1,1  
月影刃,60,-0.01,0.03,0,0,0.1,0 
银月匕首,65,-0.01,0.03,0,0,0.1,0   
圣耀匕首,90,-0.01,0.03,0,0,0,1,0
铁脊长矛,80,-0.01,0,0,0,0,02,0  
降魔之枪,80,-0.01,0,0,0,0.3,0   
圣耀长枪,100,-0.01,0,0,0,0.02,0
